Unnamed: 0,Polygon,Overlay_sheet_ct,naId,Title_short
363,"[[64, -76], [65, -76], [65, -75], [64, -75]]",6,34525038,64N076W
364,"[[64, -96], [65, -96], [65, -95], [64, -95]]",6,34525183,64N096W
365,"[[64, -68], [65, -68], [65, -67], [64, -67]]",6,34524974,64N068W
366,"[[68, -66], [69, -66], [69, -66], [68, -66]]",6,34529557,68N066-067W
367,"[[67, -136], [68, -136], [68, -136], [67, -136]]",6,34529141,67N136-137W
368,"[[67, -124], [68, -124], [68, -124], [67, -124]]",6,34529096,67N124-125W
369,"[[67, -128], [68, -128], [68, -128], [67, -128]]",6,34529114,67N128-129W
370,"[[67, -130], [68, -130], [68, -130], [67, -130]]",6,34529121,67N130-131W
371,"[[67, -132], [68, -132], [68, -132], [67, -132]]",6,34529128,67N132-133W
372,"[[67, -32], [68, -32], [68, -32], [67, -32]]",6,34528914,67N032-033W
373,"[[66, -120], [67, -120], [67, -120], [66, -120]]",6,34528280,66N120-121W
374,"[[66, -124], [67, -124], [67, -124], [66, -124]]",6,34528292,66N124-125W
375,"[[66, -130], [67, -130], [67, -130], [66, -130]]",6,34528317,66N130-131W
376,"[[66, -38], [67, -38], [67, -38], [66, -38]]",6,34528060,66N038-039W
377,"[[66, -68], [67, -68], [67, -68], [66, -68]]",6,34528221,66N068-069W
378,"[[74, -90], [75, -90], [75, -90], [74, -90]]",6,34531722,74N090-091W
379,"[[74, -96], [75, -96], [75, -96], [74, -96]]",6,34531746,74N096-097W
380,"[[74, -18], [75, -18], [75, -18], [74, -18]]",6,34531612,74N018-019W
381,"[[73, -24], [74, -24], [74, -24], [73, -24]]",6,34531412,73N024-025W
382,"[[72, -104], [73, -104], [73, -104], [72, -104]]",6,34531326,72N104-105W
383,"[[71, -176], [72, -176], [72, -176], [71, -176]]",6,34531102,71N176-177W
384,"[[71, -174], [72, -174], [72, -174], [71, -174]]",6,34531095,71N174-175W
385,"[[70, -50], [71, -50], [71, -50], [70, -50]]",6,34530484,70N050-051W
386,"[[69, -48], [70, -48], [70, -48], [69, -48]]",6,34529983,69N048-049W
387,"[[69, -124], [70, -124], [70, -124], [69, -124]]",6,34530045,69N124-125W
